357.825,265.208,-190.235
357.034,260.278,-189.805
358.137,256.404,-187.327
356.043,261.373,-192.894
360.619,255.938,-191.155
364.169,257.594,-188.164
359.978,257.605,-183.511
367.299,259.354,-187.505
359.754,251.976,-185.926
368.557,248.712,-189.114
369.045,239.841,-186.166
371.606,237.123,-184.662
375.711,227.043,-183.697
379.448,218.255,-179.056
388.151,217.637,-165.019
389.466,205.900,-156.010
398.376,198.311,-143.378
406.285,191.722,-127.418
411.890,180.197,-110.693
415.438,176.524,-94.905
421.668,164.377,-77.969
429.512,155.971,-65.259
432.188,144.762,-41.160
437.683,128.757,-26.128
436.593,116.134,-10.536
441.937,105.189,1.205
441.788,95.792,26.926
445.303,80.672,40.327
444.026,70.692,61.240
447.366,55.308,76.365
438.346,34.363,98.766
437.980,24.551,119.992
438.169,6.612,134.432
428.984,-4.958,152.480
428.734,-22.152,168.816
424.738,-40.208,188.555
415.876,-55.856,206.722
409.079,-74.490,226.074
405.916,-89.128,244.724
394.618,-104.264,257.040
385.057,-121.947,277.533
378.608,-139.249,293.293
367.279,-157.024,312.696
359.089,-168.479,325.367
353.436,-186.729,328.033
333.321,-193.750,339.009
333.755,-204.489,350.153
330.459,-213.762,358.164
325.589,-222.601,363.008
319.340,-224.773,369.206
320.884,-232.694,368.984
317.392,-230.603,371.252
317.635,-233.546,370.931
315.381,-227.760,375.128
324.900,-227.484,373.180
329.318,-218.100,370.696
329.860,-206.066,371.574
335.056,-196.169,367.090
341.649,-173.448,362.567
354.847,-159.396,359.001
362.905,-142.916,352.697
365.344,-124.652,346.904
374.030,-99.587,339.068
373.752,-78.646,334.041
381.197,-62.125,322.840
384.616,-47.354,312.151
392.282,-27.095,293.226
392.723,-16.024,271.172
399.312,-0.894,255.599
407.267,12.497,237.647
408.915,27.649,213.058
413.495,45.522,191.600
414.689,58.743,165.798
414.651,86.865,144.502
411.745,100.387,117.323
408.002,117.209,99.729
403.732,139.421,78.136
396.576,155.428,62.793
388.394,170.201,39.584
384.185,183.099,24.829
378.841,197.727,6.879
368.989,210.808,-9.341
362.280,223.288,-26.053
354.041,233.269,-45.079
343.829,241.974,-53.389
334.065,258.182,-73.510
323.217,264.807,-82.919
324.330,273.219,-90.952
319.609,272.471,-98.770
314.191,275.299,-104.438
315.438,274.158,-105.419
316.947,274.963,-109.169
314.492,275.932,-107.130
317.010,273.540,-103.185
321.210,270.450,-107.711
320.690,271.953,-108.522
321.366,269.745,-111.119
319.283,271.549,-106.469
318.552,275.163,-109.546
325.232,279.042,-106.481
