x,y,z
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-220
468,268,-219
468,268,-219
468,268,-219
469,268,-218
469,267,-218
469,267,-217
469,266,-216
470,265,-215
471,264,-214
472,263,-213
473,261,-211
474,260,-210
475,258,-207
476,257,-205
478,255,-202
480,253,-199
481,250,-196
483,248,-193
485,245,-189
487,243,-185
489,240,-181
491,237,-176
493,234,-171
496,231,-166
498,227,-161
500,224,-156
502,220,-150
505,216,-145
507,212,-139
512,204,-126
513,199,-120
516,195,-114
518,190,-107
520,185,-101
522,181,-94
524,176,-87
526,171,-80
528,166,-74
529,160,-66
531,155,-60
533,150,-53
534,144,-46
535,139,-39
536,133,-32
538,128,-25
539,122,-18
540,111,-4
541,106,1
542,100,8
542,95,14
543,90,21
543,84,27
544,79,33
544,74,39
544,68,45
544,63,51
544,58,57
544,53,63
544,48,69
544,43,75
544,38,80
543,33,86
543,28,92
542,24,97
542,19,102
541,15,108
541,10,113
540,6,118
540,2,123
539,-1,128
538,-5,134
537,-9,139
536,-13,143
535,-17,148
534,-20,153
534,-24,158
533,-27,163
531,-30,168
530,-33,174
529,-36,179
528,-39,184
526,-42,189
525,-45,194
523,-48,200
522,-50,205
520,-53,210
518,-55,215
518,-58,220
516,-60,225
514,-62,229
513,-64,234
511,-66,239
509,-67,243
507,-69,248
506,-71,252
504,-72,256
503,-74,260
502,-75,264
500,-77,267
499,-78,271
497,-79,274
496,-80,276
496,-81,279
495,-82,281
494,-83,283
493,-84,284
492,-85,286
492,-85,287
492,-86,288
491,-87,288
491,-87,288
491,-88,288
491,-88,288
491,-89,288
491,-89,288
492,-90,287
492,-90,287
492,-91,287
492,-91,286
492,-91,286
492,-91,286
492,-92,286
492,-92,285
493,-92,285
493,-92,285
493,-92,284
493,-91,284
494,-91,283
494,-91,282
494,-91,282
495,-90,281
496,-90,280
496,-89,278
496,-89,277
497,-88,275
498,-87,273
499,-87,271
501,-86,269
502,-84,266
503,-83,263
504,-82,260
506,-80,256
507,-79,252
509,-77,248
511,-75,244
513,-73,239
515,-71,234
517,-68,229
519,-66,224
521,-63,218
523,-61,212
525,-58,206
527,-55,200
529,-52,193
531,-48,187
534,-45,180
535,-41,172
537,-37,165
539,-33,158
540,-29,150
542,-25,142
544,-20,134
545,-16,127
546,-11,118
548,-6,110
549,-1,102
550,3,94
551,8,85
551,14,77
552,19,68
552,25,60
552,31,51
552,37,43
552,43,35
552,49,27
551,56,19
551,62,11
550,69,3
549,76,-3
547,82,-11
545,89,-19
544,96,-26
542,103,-33
540,110,-40
538,117,-46
536,124,-53
534,131,-59
531,138,-65
529,145,-71
526,151,-77
523,157,-82
520,164,-88
518,170,-93
512,182,-104
508,187,-108
505,193,-113
502,198,-118
499,203,-122
496,208,-127
493,212,-131
490,217,-135
486,222,-139
483,226,-143
480,230,-147
477,234,-151
474,238,-155
470,242,-159
467,246,-163
463,250,-166
460,253,-170
457,257,-174
453,260,-177
450,263,-181
447,266,-184
443,269,-187
440,272,-191
436,275,-194
432,278,-197
429,281,-200
426,283,-203
423,285,-206
420,287,-209
416,290,-212
413,292,-215
410,294,-217
407,295,-220
404,297,-222
401,299,-224
398,300,-226
396,302,-228
393,303,-230
391,304,-232
389,305,-233
387,306,-235
385,307,-236
383,308,-237
381,309,-237
380,309,-238
379,310,-238
378,310,-238
377,311,-238
376,311,-238
376,311,-238
376,312,-238
375,312,-237
375,312,-237
375,312,-236
374,312,-236
374,312,-235
374,312,-235
374,313,-234
374,313,-234
375,313,-233
375,313,-233
375,313,-233
375,313,-232
376,313,-232
376,313,-231
376,313,-231
376,312,-231
376,312,-231
