x,y,z
358,492,-169
358,492,-169
358,492,-169
358,492,-169
358,492,-169
358,492,-169
358,492,-169
358,492,-169
358,493,-169
358,493,-169
357,493,-169
356,494,-169
355,495,-169
354,496,-169
354,497,-169
352,498,-169
351,499,-169
349,501,-169
347,503,-169
344,505,-169
342,507,-169
339,510,-169
337,512,-169
333,514,-169
331,517,-169
327,520,-168
324,523,-168
321,525,-167
317,528,-166
314,531,-165
310,535,-164
306,538,-162
303,541,-161
299,544,-159
295,547,-156
292,550,-154
289,553,-151
285,556,-148
281,559,-145
278,562,-142
274,565,-138
271,567,-135
267,570,-131
263,573,-126
261,575,-122
257,578,-118
254,580,-113
250,583,-108
248,585,-102
245,587,-97
242,589,-92
239,591,-85
237,593,-80
235,594,-73
234,595,-67
234,596,-61
233,597,-54
232,597,-48
231,598,-41
231,598,-35
231,598,-28
230,598,-22
230,598,-15
230,598,-9
230,598,-3
230,597,2
230,597,8
231,597,14
231,596,20
231,596,25
231,595,31
232,595,37
233,594,42
233,593,47
234,592,52
234,591,57
235,591,62
237,590,67
238,589,72
239,587,76
240,586,81
241,585,86
243,583,91
245,581,96
246,580,101
249,578,106
250,576,110
252,574,115
255,572,120
256,570,125
259,567,130
261,565,135
263,563,140
265,560,145
267,557,149
270,555,154
272,552,159
274,549,163
277,546,168
279,544,172
282,541,176
284,538,180
287,534,184
289,531,188
293,528,191
296,525,195
299,521,198
302,518,200
305,514,203
309,511,205
312,507,207
316,504,208
320,500,210
324,496,211
327,492,213
332,488,214
336,484,214
340,480,215
344,476,215
349,472,215
353,468,215
357,463,215
361,459,215
365,454,215
370,450,215
374,445,215
378,440,215
381,436,215
385,432,215
388,428,215
392,424,215
394,420,215
397,417,215
399,414,215
402,410,215
404,407,215
407,404,215
409,401,215
412,397,215
414,394,214
417,390,214
420,387,214
422,383,213
425,379,213
427,376,212
431,371,211
433,367,211
436,363,210
439,359,209
442,354,208
445,350,207
447,346,206
451,341,204
453,337,203
457,333,201
459,328,199
463,324,197
466,320,194
469,315,191
472,311,188
475,307,185
481,299,178
484,295,174
487,291,170
490,287,166
493,284,161
496,280,157
498,277,152
502,273,147
504,270,141
507,267,136
509,264,130
512,262,124
514,259,118
516,256,112
518,254,105
520,252,99
522,250,92
524,248,86
526,246,79
528,244,72
529,243,65
530,242,58
531,241,51
533,240,44
534,239,37
534,238,30
534,238,24
535,238,17
535,238,10
536,238,4
536,239,-2
535,239,-8
535,240,-14
535,242,-20
534,243,-26
534,245,-31
533,247,-37
532,248,-42
531,250,-47
530,252,-53
529,255,-58
528,257,-63
527,259,-68
525,261,-73
523,263,-77
523,265,-82
521,267,-87
519,270,-92
518,272,-96
516,275,-101
514,277,-105
512,280,-110
510,283,-115
507,286,-119
506,290,-123
503,293,-128
500,297,-132
497,301,-137
495,305,-141
491,309,-145
488,313,-150
485,318,-154
481,322,-158
478,327,-161
474,332,-165
470,336,-169
466,341,-172
462,346,-175
458,351,-178
453,356,-181
449,362,-184
445,367,-186
441,372,-188
436,376,-190
432,381,-192
427,386,-193
423,391,-194
419,396,-195
414,400,-195
410,405,-195
406,409,-195
403,413,-195
398,417,-194
395,421,-193
392,425,-193
387,428,-192
384,432,-191
381,435,-190
377,438,-189
374,441,-188
368,447,-186
365,449,-185
362,451,-184
360,454,-183
357,456,-183
354,457,-182
353,459,-181
350,461,-180
349,462,-180
347,464,-179
345,465,-178
343,466,-178
343,467,-177
341,468,-177
340,468,-176
339,469,-176
338,469,-175
338,470,-175
338,470,-175
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,470,-174
338,471,-174
338,471,-174
337,471,-174
337,472,-174
336,472,-174
336,473,-174
335,473,-174
334,473,-174
334,474,-174
333,474,-174
333,475,-174
