x,y,z
447,182,-165
447,183,-165
447,183,-165
447,183,-165
447,183,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-165
447,184,-164
447,184,-164
447,184,-164
447,184,-163
447,184,-163
447,184,-162
447,184,-162
447,183,-161
448,183,-160
448,182,-159
449,182,-158
450,181,-157
450,181,-155
451,180,-154
452,179,-153
452,178,-151
453,177,-149
454,176,-147
455,175,-145
456,174,-143
458,172,-141
458,171,-139
459,169,-136
461,167,-134
462,165,-131
463,163,-128
465,161,-126
467,159,-123
469,157,-119
470,154,-116
472,151,-113
474,148,-109
475,146,-106
477,143,-102
479,140,-99
480,136,-95
482,133,-91
485,130,-87
486,127,-83
488,123,-79
490,120,-75
491,116,-71
493,113,-67
495,109,-63
496,105,-59
498,102,-55
500,98,-51
503,91,-43
505,87,-39
507,84,-35
508,80,-31
509,77,-27
511,73,-23
512,70,-19
513,66,-15
515,63,-11
516,59,-7
517,56,-3
518,52,0
519,49,3
521,45,7
522,42,10
523,39,14
523,35,17
525,32,21
526,28,24
527,25,27
528,22,30
529,19,33
529,15,36
530,12,39
531,8,41
532,5,44
533,2,46
534,-1,48
534,-4,50
535,-8,52
535,-11,54
536,-14,55
537,-18,56
538,-21,57
539,-24,58
539,-27,59
540,-31,60
540,-34,61
540,-37,62
541,-39,63
541,-42,63
542,-45,64
542,-47,65
543,-49,66
543,-51,67
544,-53,67
544,-54,68
544,-56,69
545,-57,69
545,-57,70
545,-58,70
545,-58,71
545,-58,72
545,-57,72
546,-57,73
546,-56,74
546,-55,75
546,-53,75
546,-52,76
546,-50,77
547,-46,78
547,-44,79
547,-41,79
547,-39,79
547,-36,80
547,-33,80
547,-30,79
547,-27,79
547,-24,78
547,-21,77
548,-18,76
548,-15,75
548,-11,73
548,-8,71
548,-5,69
549,-2,66
549,0,64
549,2,61
550,5,57
550,8,54
550,11,50
550,14,46
550,17,42
551,21,37
551,24,33
551,27,28
551,30,23
551,34,18
550,38,13
550,42,8
550,46,3
549,50,-1
548,54,-7
548,59,-12
547,63,-17
546,68,-23
545,73,-28
544,78,-33
543,83,-39
542,88,-44
540,93,-49
539,98,-54
537,103,-59
536,107,-63
534,112,-68
532,117,-73
530,122,-78
529,126,-82
527,131,-87
524,135,-92
523,140,-96
520,144,-101
518,148,-105
516,152,-109
513,156,-113
512,160,-117
509,163,-121
507,167,-125
505,170,-129
502,173,-132
500,176,-136
498,179,-139
496,182,-142
493,185,-145
491,187,-148
489,190,-151
486,192,-153
485,195,-156
482,197,-158
480,200,-161
478,202,-163
475,204,-165
473,206,-167
471,209,-169
469,211,-170
467,213,-172
464,214,-173
463,216,-175
460,218,-176
458,220,-177
457,221,-178
455,223,-179
452,224,-180
451,226,-180
449,227,-181
447,228,-181
446,229,-182
444,230,-182
443,231,-182
442,231,-183
440,232,-183
439,233,-183
437,233,-183
436,233,-183
435,234,-183
434,234,-183
433,234,-183
431,234,-184
431,234,-184
430,234,-184
429,234,-184
428,234,-184
426,234,-184
425,234,-184
425,233,-184
424,233,-184
423,232,-184
423,232,-184
422,231,-185
421,231,-185
420,230,-185
420,230,-185
