x,y,z
480,-215,-339
480,-215,-339
480,-216,-338
480,-216,-338
480,-216,-338
480,-216,-338
479,-216,-338
479,-216,-337
479,-216,-337
479,-216,-337
479,-216,-337
479,-215,-337
479,-215,-336
479,-214,-336
480,-213,-336
480,-212,-336
480,-211,-336
480,-210,-335
480,-208,-335
480,-207,-335
481,-205,-334
482,-203,-334
482,-201,-333
483,-199,-332
484,-197,-332
485,-195,-330
485,-193,-329
487,-190,-327
488,-188,-325
490,-185,-323
491,-182,-321
492,-179,-318
495,-175,-315
496,-171,-312
498,-168,-308
501,-163,-304
502,-159,-300
505,-155,-296
507,-150,-291
509,-146,-287
513,-136,-277
516,-131,-272
518,-125,-266
520,-120,-260
522,-113,-254
524,-107,-248
526,-101,-242
529,-94,-236
530,-88,-230
532,-81,-223
534,-74,-216
535,-67,-209
536,-59,-202
538,-52,-195
539,-44,-188
540,-36,-180
541,-29,-173
542,-20,-165
542,-12,-157
543,-5,-148
543,2,-140
544,9,-131
544,17,-122
543,25,-113
543,33,-104
542,43,-95
542,51,-86
540,58,-76
540,66,-67
539,74,-57
537,82,-47
535,90,-35
534,97,-25
532,104,-16
529,111,-6
527,119,3
524,126,13
522,133,23
519,140,33
516,146,43
513,153,52
510,159,62
507,166,71
502,172,81
499,178,90
496,184,99
492,189,108
489,194,117
485,199,126
481,204,135
478,208,143
474,212,151
470,216,160
467,220,168
463,223,176
460,226,184
457,229,192
453,231,199
450,234,207
447,236,214
444,237,221
442,239,227
439,240,234
436,241,240
435,241,246
433,242,251
431,242,256
430,242,261
429,241,266
428,241,270
428,240,274
427,239,278
427,239,281
427,238,283
428,237,285
429,236,287
429,235,289
430,234,290
431,234,292
431,233,293
431,233,294
432,233,295
433,233,295
433,233,296
434,233,296
435,234,296
435,234,296
436,234,296
436,235,295
437,235,295
438,236,294
439,236,293
441,237,292
442,237,290
443,237,288
445,237,286
447,238,283
449,238,281
451,237,278
453,237,274
456,237,271
458,236,267
461,235,263
463,235,259
466,234,254
469,234,249
471,233,244
474,233,239
477,232,233
480,232,228
482,231,222
485,230,216
488,229,209
491,227,203
494,226,196
496,225,189
499,223,183
502,221,176
505,218,169
507,216,162
511,213,155
513,210,148
516,206,141
518,203,133
521,199,126
526,192,111
529,187,104
530,183,97
533,178,89
534,173,82
537,168,74
539,163,67
540,158,59
542,153,52
544,147,44
545,142,37
546,136,29
547,130,22
549,124,14
550,118,6
551,112,0
551,106,-8
551,100,-16
552,94,-23
552,88,-31
553,82,-38
553,75,-46
553,69,-53
553,62,-60
552,55,-67
552,49,-74
551,42,-81
551,35,-88
551,28,-95
550,22,-102
549,15,-108
547,9,-115
546,2,-121
545,-4,-127
544,-10,-133
543,-17,-139
541,-23,-144
540,-30,-150
538,-36,-155
537,-42,-160
535,-49,-165
534,-55,-170
532,-61,-175
529,-68,-180
528,-74,-184
526,-80,-189
524,-86,-193
522,-92,-197
520,-98,-201
518,-104,-205
516,-110,-209
514,-115,-213
512,-121,-217
510,-126,-220
507,-131,-224
506,-137,-228
503,-142,-231
501,-147,-235
499,-151,-238
496,-156,-242
494,-160,-245
492,-165,-248
490,-169,-252
487,-173,-255
485,-177,-258
483,-181,-261
480,-184,-264
479,-187,-268
476,-191,-270
474,-194,-273
472,-196,-276
470,-199,-278
469,-202,-281
465,-207,-285
463,-209,-287
462,-211,-289
460,-213,-290
459,-215,-291
458,-217,-293
457,-218,-294
456,-220,-294
455,-221,-295
454,-223,-296
453,-224,-296
453,-225,-296
452,-227,-296
452,-228,-296
452,-229,-296
452,-230,-295
452,-231,-295
