x,y,z
147,-624,-147
147,-624,-147
146,-624,-147
145,-625,-147
144,-625,-147
143,-625,-147
142,-625,-147
142,-626,-147
141,-626,-147
141,-626,-147
141,-626,-147
140,-626,-147
139,-626,-147
139,-626,-147
138,-627,-147
138,-627,-147
137,-627,-147
137,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
136,-627,-147
137,-627,-147
138,-627,-147
139,-626,-147
141,-626,-147
141,-626,-147
143,-625,-147
146,-625,-147
147,-624,-147
150,-623,-147
153,-622,-147
156,-621,-147
159,-620,-147
163,-619,-147
167,-618,-147
170,-616,-147
174,-615,-147
179,-613,-147
184,-611,-147
189,-609,-147
194,-607,-147
199,-605,-147
205,-602,-147
211,-600,-147
217,-597,-147
223,-594,-147
228,-591,-147
235,-587,-147
242,-584,-147
248,-580,-147
255,-576,-147
261,-572,-147
269,-567,-147
276,-563,-147
283,-558,-147
290,-553,-147
298,-548,-147
305,-542,-147
312,-537,-147
320,-531,-147
327,-524,-147
334,-518,-147
342,-511,-147
349,-504,-147
356,-497,-147
364,-490,-147
371,-483,-147
377,-475,-148
384,-468,-147
392,-460,-147
398,-452,-147
404,-443,-147
419,-425,-147
425,-417,-147
429,-410,-148
436,-401,-148
441,-392,-148
447,-383,-148
452,-374,-148
458,-364,-148
463,-355,-148
468,-346,-148
473,-336,-148
478,-326,-148
482,-317,-148
487,-307,-148
491,-297,-148
496,-287,-148
499,-278,-148
503,-268,-148
507,-258,-148
510,-248,-148
513,-238,-148
517,-228,-148
520,-218,-148
523,-208,-148
525,-199,-148
528,-189,-148
530,-179,-148
533,-170,-148
534,-160,-148
537,-151,-148
539,-142,-148
540,-133,-148
542,-121,-148
544,-113,-148
545,-104,-148
546,-96,-148
547,-87,-148
548,-79,-148
549,-71,-148
550,-63,-148
551,-55,-148
551,-47,-148
551,-40,-148
551,-33,-148
552,-26,-148
552,-20,-148
552,-13,-148
553,-7,-148
553,-1,-147
553,4,-147
553,10,-147
553,15,-147
553,20,-147
553,25,-147
553,29,-147
553,34,-146
553,38,-146
553,42,-146
553,45,-146
553,49,-145
553,52,-145
553,54,-145
553,57,-144
553,59,-144
553,61,-144
554,63,-144
554,64,-143
554,65,-143
554,66,-143
554,67,-142
554,67,-142
554,67,-142
555,66,-142
555,65,-142
555,64,-142
555,62,-142
556,61,-142
556,58,-142
556,56,-142
556,53,-142
556,49,-142
556,46,-142
556,44,-142
556,41,-142
556,40,-142
556,39,-142
556,38,-142
556,37,-142
556,36,-142
556,35,-142
556,34,-142
557,32,-142
557,30,-142
557,28,-142
557,23,-142
557,21,-142
557,18,-142
557,14,-142
557,11,-142
557,6,-142
557,2,-142
557,-2,-142
557,-8,-141
557,-13,-141
557,-20,-141
557,-26,-141
557,-33,-141
556,-40,-142
556,-47,-142
556,-54,-142
555,-62,-142
555,-71,-142
554,-79,-142
552,-88,-142
551,-97,-142
551,-106,-142
549,-115,-142
547,-124,-142
546,-133,-142
544,-142,-142
542,-152,-142
540,-161,-142
538,-171,-142
535,-181,-142
534,-191,-142
529,-203,-142
527,-213,-142
524,-222,-142
521,-232,-142
518,-241,-142
514,-251,-142
511,-261,-142
507,-270,-142
504,-280,-142
500,-289,-142
496,-298,-142
491,-308,-142
487,-317,-142
483,-326,-142
479,-335,-142
474,-343,-142
469,-352,-142
464,-360,-142
460,-369,-142
455,-377,-142
450,-385,-142
445,-393,-142
440,-401,-142
435,-408,-142
430,-416,-142
424,-423,-142
419,-430,-142
414,-437,-142
408,-444,-142
402,-451,-142
397,-458,-142
391,-464,-142
385,-471,-142
380,-477,-142
374,-483,-142
368,-489,-142
362,-495,-142
356,-501,-142
350,-506,-142
344,-512,-142
338,-517,-142
332,-522,-142
327,-527,-142
321,-532,-142
315,-537,-142
309,-542,-142
303,-546,-142
297,-550,-142
291,-555,-142
285,-559,-142
279,-563,-142
273,-567,-142
267,-570,-142
261,-574,-142
256,-577,-142
250,-581,-142
244,-584,-142
239,-587,-142
233,-590,-142
228,-593,-142
222,-596,-142
217,-598,-142
206,-603,-142
201,-606,-142
195,-608,-142
190,-610,-142
185,-612,-142
179,-614,-142
175,-616,-142
170,-618,-142
166,-619,-142
161,-621,-142
157,-622,-142
152,-624,-142
148,-625,-142
144,-626,-142
140,-628,-142
136,-629,-142
131,-630,-142
127,-631,-142
124,-632,-142
120,-633,-142
116,-633,-142
113,-634,-142
109,-635,-142
107,-636,-142
103,-636,-142
101,-637,-142
98,-637,-142
96,-638,-142
93,-638,-142
91,-639,-142
89,-639,-142
87,-639,-142
86,-640,-142
84,-640,-142
82,-640,-142
81,-640,-142
80,-640,-142
79,-641,-142
78,-641,-142
77,-641,-142
76,-641,-142
76,-641,-142
76,-641,-142
75,-641,-142
75,-641,-142
